Country,YearsProgram,DeveloperType,HaveWorkedLanguage,Salary
Greece,12 to 13 years,Web developer; Mobile developer; Desktop applications developer,C#; JavaScript; TypeScript,NA
Austria,10 to 11 years,Embedded applications/devices developer,Assembly; C; C++; Lua; Matlab; Python; SQL,NA
Israel,3 to 4 years,Mobile developer,Java,61455.525606469
India,1 to 2 years,NA,JavaScript,NA
United States,8 to 9 years,NA,Assembly; C; C++; Java; Matlab; Python,NA
United States,5 to 6 years,NA,Python; SQL,NA
Romania,20 or more years,NA,Assembly; C; C++; C#; Java; JavaScript; PHP; SQL; VB.NET; VBA; Visual Basic 6,NA
Russian Federation,20 or more years,Desktop applications developer,Assembly; C; C++; Objective-C; PHP; Python; SQL; VB.NET; VBA; Visual Basic 6,NA
Poland,9 to 10 years,Mobile developer,C#; Java; R,8518.51851851852
India,16 to 17 years,Desktop applications developer,C#; JavaScript; SQL; TypeScript,10277.4922918808
United States,5 to 6 years,Other,Java; SQL,5e4
Bangladesh,7 to 8 years,Web developer; DevOps specialist,Java; JavaScript,NA
United States,10 to 11 years,Web developer,C#; JavaScript; SQL,11e4
New Zealand,15 to 16 years,Web developer,JavaScript; PHP,NA
Philippines,4 to 5 years,Mobile developer; Embedded applications/devices developer; Developer with a statistics or mathematics background; Desktop applications developer; Database administrator,C; C++; C#; Java; Python; SQL; VB.NET,357.568533969011
Australia,7 to 8 years,Web developer; Mobile developer; Embedded applications/devices developer,Java; JavaScript; Swift,60606.0606060606
United States,15 to 16 years,Web developer; DevOps specialist,JavaScript; PHP; SQL,58e3
United States,Less than a year,NA,JavaScript; Ruby,NA
United States,20 or more years,Desktop applications developer,Smalltalk,146e3
India,3 to 4 years,Other,C; C++,NA
Jamaica,4 to 5 years,Web developer,C#; Java; JavaScript; PHP; SQL,NA
Argentina,12 to 13 years,Web developer; Mobile developer; Desktop applications developer,C#; Java; JavaScript; SQL,NA
United States,5 to 6 years,Web developer; Database administrator,C; C++; C#; Java; JavaScript; PHP; Python; SQL; Swift,65e3
Canada,5 to 6 years,Web developer; Desktop applications developer,C++; C#; JavaScript; SQL,37878.7878787879
United States,10 to 11 years,Web developer,JavaScript; Python,12e4
United States,5 to 6 years,Web developer; Desktop applications developer; Systems administrator; DevOps specialist,C++; C#; Java; SQL,NA
United States,8 to 9 years,Mobile developer,Java,13e4
Canada,14 to 15 years,Web developer,Java; JavaScript; PHP,NA
United States,20 or more years,Web developer; Systems administrator; DevOps specialist,NA,12e4
United States,20 or more years,Desktop applications developer; DevOps specialist; Quality assurance engineer,Java,98e3
Canada,1 to 2 years,NA,JavaScript; Ruby,NA
United States,20 or more years,Web developer; Database administrator; Systems administrator,SQL,NA
United States,2 to 3 years,Web developer; Mobile developer; Desktop applications developer,JavaScript; Python; Ruby,65e3
Germany,7 to 8 years,Developer with a statistics or mathematics background; Desktop applications developer,Java,53763.4408602151
India,8 to 9 years,Web developer,JavaScript; Perl; PHP; SQL,17618.5582146528
Germany,3 to 4 years,Mobile developer; Embedded applications/devices developer; Graphics programming; Graphic designer; Desktop applications developer,C++; C#; JavaScript; SQL; TypeScript,38709.6774193548
Belgium,14 to 15 years,Web developer; Mobile developer,C; C++; C#; Java; JavaScript; Lua; Objective-C; PHP; SQL; Swift,43010.752688172
United Kingdom,20 or more years,Web developer; Database administrator; Systems administrator,C#; Java; JavaScript; Perl; SQL; VB.NET,NA
Spain,14 to 15 years,Desktop applications developer; Database administrator,JavaScript; SQL,NA
United States,9 to 10 years,Web developer; Desktop applications developer; Database administrator,C#; Java; JavaScript; Objective-C; PHP; SQL; VB.NET,87e3
Bangladesh,1 to 2 years,Mobile developer; Quality assurance engineer,Java; Python; Swift,3035
United States,19 to 20 years,NA,Python; SQL; VBA,NA
United States,1 to 2 years,NA,JavaScript; Ruby; SQL,NA
South Africa,9 to 10 years,Web developer,C#; JavaScript; SQL,68299.9257609503
Czech Republic,14 to 15 years,Mobile developer; Machine learning specialist; Developer with a statistics or mathematics background; Data scientist; Desktop applications developer,C; C++; C#; Lua; Objective-C; Python; Scala; Swift,NA
Poland,3 to 4 years,NA,Assembly; C++; C#; Java; SQL; VBA,NA
France,10 to 11 years,NA,C++; R; SQL,NA
Mexico,15 to 16 years,Web developer; Desktop applications developer,C++; C#; JavaScript,36746.4114832536
Austria,4 to 5 years,Web developer; Mobile developer; Embedded applications/devices developer; Desktop applications developer,C; C#; Java; JavaScript; PHP; SQL; TypeScript,NA
Pakistan,5 to 6 years,Web developer,C#,NA
United Kingdom,20 or more years,Desktop applications developer,C; C++; Java; Lua; SQL,NA
United States,8 to 9 years,Web developer,Groovy; Java; JavaScript; Perl; TypeScript,NA
Hungary,15 to 16 years,Embedded applications/devices developer,Assembly; C; C++; C#; JavaScript; Lua; Python,NA
Slovenia,14 to 15 years,Web developer; Machine learning specialist; Developer with a statistics or mathematics background; Data scientist,JavaScript; Python; SQL,NA
India,15 to 16 years,Web developer,Java,25693.730729702
United States,3 to 4 years,Web developer; Graphic designer; Database administrator,JavaScript; PHP; Ruby; SQL,65e3
United States,20 or more years,Web developer,C#; SQL,NA
India,3 to 4 years,Web developer,PHP,4404.63955366319
United Kingdom,4 to 5 years,Web developer,Java; JavaScript; SQL,32125
Canada,1 to 2 years,Web developer; Database administrator,Java; JavaScript; PHP; SQL; VBA,27272.7272727273
United States,2 to 3 years,Web developer,Perl; SQL,NA
Sweden,11 to 12 years,Web developer; DevOps specialist,C#; Java; JavaScript,NA
United States,12 to 13 years,Mobile developer,Objective-C; Swift,NA
Poland,11 to 12 years,Desktop applications developer,C#; SQL,NA
Uruguay,3 to 4 years,Web developer; Mobile developer,JavaScript; Objective-C; Python; Ruby; Swift; TypeScript,NA
Netherlands,8 to 9 years,Mobile developer; Desktop applications developer; Systems administrator; DevOps specialist,C#; Groovy; Java,33333.3333333333
France,14 to 15 years,Desktop applications developer; Other,C#; SQL,59139.7849462366
United States,16 to 17 years,Developer with a statistics or mathematics background; Other,Assembly; C++; C#; JavaScript; Lua; Python,85e3
United States,3 to 4 years,Web developer,C; C++; CoffeeScript; Go; Java; JavaScript; Ruby,68e3
United Kingdom,6 to 7 years,Database administrator; Systems administrator; DevOps specialist,NA,NA
United States,20 or more years,Other,C; C++; C#,NA
India,2 to 3 years,Web developer; Mobile developer,JavaScript; PHP; Python; SQL,7341.06592277199
United Kingdom,4 to 5 years,Web developer; Developer with a statistics or mathematics background; Data scientist; Systems administrator; DevOps specialist; Quality assurance engineer,Go; Groovy; Java; JavaScript; Objective-C; Python; SQL,42500
United States,18 to 19 years,Machine learning specialist; Data scientist; DevOps specialist,C++; Python; Scala,12e4
India,14 to 15 years,Web developer; Data scientist; DevOps specialist,JavaScript; PHP; Python; SQL; TypeScript,18132.4328292468
United States,20 or more years,Web developer,C#; JavaScript; SQL,111e3
Serbia,14 to 15 years,Web developer; Mobile developer,Java,38709.6774193548
India,4 to 5 years,Embedded applications/devices developer,C; Objective-C,NA
United States,20 or more years,Web developer; Mobile developer; Desktop applications developer,CoffeeScript; JavaScript; Ruby; TypeScript,13e4
India,7 to 8 years,Machine learning specialist; Desktop applications developer; Database administrator; Systems administrator,C; C++; Java; Python; SQL,4110.99691675231
Canada,11 to 12 years,Web developer,Go; Java; JavaScript; Python; SQL,NA
United Kingdom,14 to 15 years,Web developer; Mobile developer; Desktop applications developer,JavaScript; PHP,NA
Germany,10 to 11 years,Web developer,Java; SQL,51612.9032258064
Brazil,6 to 7 years,Web developer,JavaScript; Ruby,657.324840764331
India,6 to 7 years,Web developer,JavaScript; PHP; Python; SQL,19086.7713992072
Serbia,2 to 3 years,Mobile developer; Embedded applications/devices developer,C; C++; Java,NA
Czech Republic,14 to 15 years,Desktop applications developer,C#; Perl; SQL,NA
Bulgaria,5 to 6 years,Web developer; Desktop applications developer,C#; Java; JavaScript; Ruby,NA
Malaysia,4 to 5 years,Desktop applications developer,C#; Java; Ruby,NA
Argentina,20 or more years,Web developer; Desktop applications developer,C#; SQL,49713.1931166348
United States,9 to 10 years,Web developer,C#; JavaScript; SQL,NA
India,7 to 8 years,Desktop applications developer,C#,NA
United Kingdom,8 to 9 years,Desktop applications developer,C; C++,NA
Canada,4 to 5 years,Web developer,C++; C#; Java; JavaScript; Matlab; PHP; Python; SQL; TypeScript,NA
Germany,9 to 10 years,Web developer; Mobile developer,C; JavaScript,33548.3870967742
Brazil,16 to 17 years,Web developer; Desktop applications developer,Java; JavaScript; Python,NA
United Kingdom,19 to 20 years,NA,Java; JavaScript; Python; VB.NET,NA
Ukraine,11 to 12 years,Mobile developer,C; C++; Java; Objective-C; Python; Swift,NA
United States,20 or more years,Web developer; Other,JavaScript; SQL,NA
France,19 to 20 years,Web developer; Desktop applications developer,C#; JavaScript; SQL; TypeScript,NA
India,2 to 3 years,Web developer,C; C++; C#; Java; JavaScript; Objective-C; Python,NA
United Kingdom,8 to 9 years,Embedded applications/devices developer; Machine learning specialist; Data scientist,Python; R; SQL,54545.4545454545
United States,11 to 12 years,Web developer,C#; R; SQL,85e3
India,5 to 6 years,Web developer,JavaScript; Python,5880.19380414036
Poland,20 or more years,Web developer; Desktop applications developer,C#; SQL,NA
United States,20 or more years,Web developer; Other,JavaScript; PHP; SQL,NA
Iran,20 or more years,Web developer; Mobile developer; Embedded applications/devices developer; Graphics programming; Desktop applications developer; Database administrator; Systems administrator; DevOps specialist,C++; C#; JavaScript; PHP; SQL; VB.NET; VBA,NA
Switzerland,20 or more years,Web developer; Desktop applications developer,C#,1e5
United States,19 to 20 years,Mobile developer; Embedded applications/devices developer; Desktop applications developer,C; Objective-C; Python; R,172e3
United Kingdom,20 or more years,Other,Java; JavaScript; TypeScript,62500
United States,7 to 8 years,Desktop applications developer; Database administrator,C#; Python; SQL,NA
Brazil,19 to 20 years,Web developer,Java,NA
Brazil,20 or more years,Web developer; Mobile developer; Desktop applications developer; Database administrator,C#; JavaScript; SQL; TypeScript,52356.6878980892
United States,2 to 3 years,Web developer,CoffeeScript; JavaScript; Ruby,NA
Brazil,10 to 11 years,Web developer; DevOps specialist,C; Java; Python; Rust; SQL,44585.9872611465
Russian Federation,18 to 19 years,Desktop applications developer,C#; SQL,7017.54385964912
United States,3 to 4 years,NA,SQL,NA
Italy,4 to 5 years,Web developer; Embedded applications/devices developer; Database administrator,JavaScript; PHP; Python; SQL,19354.8387096774
Canada,14 to 15 years,Web developer; Data scientist,JavaScript; Perl; PHP; Python; R; SQL; VBA,NA
United States,6 to 7 years,Web developer; Mobile developer,Java; JavaScript; PHP; SQL; TypeScript,NA
United States,5 to 6 years,Developer with a statistics or mathematics background,JavaScript; R; Scala,NA
Australia,15 to 16 years,Web developer,C#; JavaScript,100757.575757576
United States,3 to 4 years,Desktop applications developer,C++; C#,32e3
France,9 to 10 years,Embedded applications/devices developer,C; C++; Java; JavaScript; PHP; SQL,40322.5806451613
United States,9 to 10 years,Web developer; Graphic designer,Java; JavaScript; PHP; SQL,NA
United States,20 or more years,Embedded applications/devices developer; Desktop applications developer,Java; VBA,NA
Slovak Republic,5 to 6 years,Web developer; Systems administrator,Python,NA
United Kingdom,20 or more years,Web developer; Mobile developer; Desktop applications developer; Database administrator,C#; Java; JavaScript; SQL,NA
United Kingdom,4 to 5 years,Web developer,JavaScript; TypeScript,41250
Canada,4 to 5 years,Web developer; Mobile developer; Desktop applications developer,C++; C#; Java; JavaScript; Matlab,43181.8181818182
United Kingdom,1 to 2 years,NA,Java; JavaScript,NA
Bulgaria,3 to 4 years,Web developer; Graphic designer; Quality assurance engineer,JavaScript,9841
France,7 to 8 years,NA,NA,NA
United States,7 to 8 years,Web developer; Graphics programming,C#; JavaScript; TypeScript,NA
Poland,4 to 5 years,Web developer; Developer with a statistics or mathematics background; Data scientist,Assembly; C; Clojure; Elixir; Go; Java; Python; SQL,NA
Pakistan,8 to 9 years,Web developer,C++; JavaScript; Matlab; PHP; SQL,NA
Germany,2 to 3 years,NA,Assembly; C; Java; Python,NA
Portugal,11 to 12 years,Web developer; Embedded applications/devices developer,C++; JavaScript,19569.8924731183
Denmark,16 to 17 years,Web developer,JavaScript; PHP; Python,NA
United Kingdom,20 or more years,Mobile developer; Graphics programming; Desktop applications developer,C#; Java; SQL,NA
Romania,8 to 9 years,Desktop applications developer; Database administrator; Systems administrator; Other,C#; Go; Java; JavaScript; Python; SQL,NA
Slovenia,15 to 16 years,Web developer; Mobile developer,Go; Java; JavaScript; Objective-C,48387.0967741935
Canada,4 to 5 years,Web developer; Mobile developer; Desktop applications developer,JavaScript; PHP; Python; SQL,NA
France,20 or more years,Embedded applications/devices developer; Systems administrator,C,NA
United States,20 or more years,Web developer,JavaScript; PHP; SQL,NA
Netherlands,9 to 10 years,NA,Assembly; C++; Java; JavaScript; Matlab; Python; SQL,NA
Mexico,5 to 6 years,Web developer,C#; JavaScript; SQL,NA
Spain,20 or more years,Web developer,Java; JavaScript,NA
Canada,9 to 10 years,Web developer; Mobile developer; Graphic designer; Other,JavaScript; Objective-C; PHP; Python; Swift; TypeScript,132575.757575758
United States,2 to 3 years,Web developer,Java; JavaScript; Python; Scala; SQL,11e4
United States,10 to 11 years,Mobile developer,Java; JavaScript,9e4
Venezuela,20 or more years,NA,Java; JavaScript; SQL,NA
Chile,15 to 16 years,Web developer; Database administrator; Systems administrator,C#; Groovy; Java; JavaScript; SQL,NA
United States,16 to 17 years,Web developer; Desktop applications developer; DevOps specialist,C#; JavaScript; TypeScript,NA
United States,10 to 11 years,Web developer; Mobile developer; Desktop applications developer; DevOps specialist; Other,C; C++; C#; Clojure; Java; JavaScript; Objective-C; Swift,NA
India,6 to 7 years,Web developer; Developer with a statistics or mathematics background,NA,NA
Egypt,4 to 5 years,Desktop applications developer,C; C++; CoffeeScript; JavaScript,NA
